
2023-01-08|17|54|25|99|1100
2023-01-08 17:58:49|17|58|3|99|1100
2023-01-08 17:59:07|17|59|3|99|1100
2023-01-08 17:59:26|17|59|3|99|1100
2023-01-08 17:59:44|17|59|3|99|1100
2023-01-08 18:00:02|18|00|3|99|1100
2023-01-08 18:00:20|18|00|3|99|1100
2023-01-08 18:00:39|18|00|3|99|1100
2023-01-08 18:00:57|18|00|3|99|1100
2023-01-08 18:01:15|18|01|3|99|1100
2023-01-08 18:01:33|18|01|3|99|1100
2023-01-08 18:03:33|18|03|3|99|1100
2023-01-08 18:05:42|18|05|3|99|1100
2023-01-08 18:09:42|18|09|3|99|1100
2023-01-08 18:13:01|18|13|3|99|1100
2023-01-09 20:51:34|20|51|3|99|1100
2023-01-09 20:56:40|20|56|3|99|1100
2023-01-09 20:58:57|20|58|3|99|1100
